libelle_region,Classe_DPE,Nombre_logements
Nouvelle-Aquitaine,B,3.0
Nouvelle-Aquitaine,B,0.0
Nouvelle-Aquitaine,B,2.0
Nouvelle-Aquitaine,B,2.0
Occitanie,B,1.0
Occitanie,B,85.0
Occitanie,B,1.0
Occitanie,B,0.0
Occitanie,B,11.0
Occitanie,B,36.0
Occitanie,B,0.0
Occitanie,B,1.0
Bretagne,B,5.0
Bretagne,B,0.0
Bretagne,B,2.0
Bretagne,B,0.0
Bretagne,B,18.0
Bretagne,B,2.0
Centre-Val de Loire,B,21.0
Centre-Val de Loire,B,1.0
Centre-Val de Loire,B,3.0
Centre-Val de Loire,B,6.0
Centre-Val de Loire,B,1.0
Auvergne-Rhône-Alpes,B,1.0
Auvergne-Rhône-Alpes,B,3.0
Auvergne-Rhône-Alpes,B,0.0
Auvergne-Rhône-Alpes,B,0.0
Auvergne-Rhône-Alpes,B,1.0
Auvergne-Rhône-Alpes,B,16.0
Auvergne-Rhône-Alpes,B,7.0
Auvergne-Rhône-Alpes,B,1.0
Bourgogne-Franche-Comté,B,1.0
Bourgogne-Franche-Comté,B,3.0
Bourgogne-Franche-Comté,B,3.0
Bourgogne-Franche-Comté,B,2.0
Nouvelle-Aquitaine,B,1.0
Nouvelle-Aquitaine,B,0.0
Nouvelle-Aquitaine,B,2.0
Nouvelle-Aquitaine,B,16.0
Nouvelle-Aquitaine,B,1.0
Nouvelle-Aquitaine,B,1.0
Nouvelle-Aquitaine,B,1.0
Nouvelle-Aquitaine,B,9.0
Nouvelle-Aquitaine,B,13.0
Nouvelle-Aquitaine,B,1.0
Nouvelle-Aquitaine,B,14.0
Nouvelle-Aquitaine,B,2.0
Centre-Val de Loire,B,1.0
Centre-Val de Loire,B,1.0
Auvergne-Rhône-Alpes,B,1.0
Auvergne-Rhône-Alpes,B,1.0
Auvergne-Rhône-Alpes,B,5.0
Auvergne-Rhône-Alpes,B,10.0
Auvergne-Rhône-Alpes,B,1.0
Auvergne-Rhône-Alpes,B,14.0
Pays de la Loire,B,2.0
Pays de la Loire,B,1.0
Pays de la Loire,B,5.0
Pays de la Loire,B,1.0
Pays de la Loire,B,4.0
Pays de la Loire,B,1.0
Pays de la Loire,B,2.0
Occitanie,B,3.0
Nouvelle-Aquitaine,B,1.0
Pays de la Loire,B,3.0
Pays de la Loire,B,7.0
Pays de la Loire,B,5.0
Pays de la Loire,B,0.0
Pays de la Loire,B,0.0
Normandie,B,2.0
Normandie,B,8.0
Normandie,B,3.0
Normandie,B,2.0
Normandie,B,1.0
Normandie,B,9.0
Normandie,B,5.0
Normandie,B,2.0
Normandie,B,2.0
Normandie,B,2.0
Normandie,B,2.0
Normandie,B,11.0
Grand Est,B,3.0
Grand Est,B,1.0
Grand Est,B,1.0
Grand Est,B,1.0
Grand Est,B,2.0
Grand Est,B,3.0
Grand Est,B,1.0
Grand Est,B,2.0
Grand Est,B,1.0
Grand Est,B,2.0
Pays de la Loire,B,2.0
Pays de la Loire,B,1.0
Pays de la Loire,B,1.0
Grand Est,B,2.0
Grand Est,B,2.0
Grand Est,B,1.0
Grand Est,B,2.0
Grand Est,B,1.0
Bretagne,B,3.0
Bretagne,B,0.0
Grand Est,B,3.0
Grand Est,B,2.0
Grand Est,B,0.0
Bourgogne-Franche-Comté,B,6.0
Hauts-de-France,B,4.0
Hauts-de-France,B,1.0
Hauts-de-France,B,8.0
Hauts-de-France,B,1.0
Hauts-de-France,B,9.0
Hauts-de-France,B,4.0
Hauts-de-France,B,6.0
Hauts-de-France,B,1.0
Hauts-de-France,B,6.0
Hauts-de-France,B,1.0
Hauts-de-France,B,2.0
Nouvelle-Aquitaine,B,2.0
Nouvelle-Aquitaine,B,3.0
Occitanie,B,0.0
Occitanie,B,1.0
Occitanie,B,1.0
Occitanie,B,1.0
Occitanie,B,0.0
Grand Est,B,2.0
Grand Est,B,3.0
Grand Est,B,1.0
Grand Est,B,2.0
Grand Est,B,15.0
Grand Est,B,2.0
Grand Est,B,1.0
Grand Est,B,1.0
Auvergne-Rhône-Alpes,B,11.0
Auvergne-Rhône-Alpes,B,2.0
Auvergne-Rhône-Alpes,B,17.0
Auvergne-Rhône-Alpes,B,0.0
Bourgogne-Franche-Comté,B,1.0
Bourgogne-Franche-Comté,B,1.0
Bourgogne-Franche-Comté,B,2.0
Bourgogne-Franche-Comté,B,2.0
Bourgogne-Franche-Comté,B,4.0
Bourgogne-Franche-Comté,B,2.0
Bourgogne-Franche-Comté,B,2.0
Bourgogne-Franche-Comté,B,1.0
Bourgogne-Franche-Comté,B,6.0
Auvergne-Rhône-Alpes,B,0.0
Auvergne-Rhône-Alpes,B,1.0
Auvergne-Rhône-Alpes,B,0.0
Auvergne-Rhône-Alpes,B,1.0
Auvergne-Rhône-Alpes,B,1.0
Auvergne-Rhône-Alpes,B,2.0
Auvergne-Rhône-Alpes,B,4.0
Île-de-France,B,255.0
Île-de-France,B,2.0
Île-de-France,B,9.0
Normandie,B,1.0
Normandie,B,1.0
Normandie,B,1.0
Normandie,B,12.0
Normandie,B,23.0
Normandie,B,1.0
Normandie,B,1.0
Normandie,B,2.0
Normandie,B,1.0
Île-de-France,B,0.0
Île-de-France,B,13.0
Île-de-France,B,3.0
Île-de-France,B,0.0
Île-de-France,B,0.0
Île-de-France,B,0.0
Île-de-France,B,7.0
Île-de-France,B,0.0
Nouvelle-Aquitaine,B,2.0
Nouvelle-Aquitaine,B,1.0
Occitanie,B,2.0
Occitanie,B,1.0
Occitanie,B,3.0
Occitanie,B,2.0
Occitanie,B,2.0
Occitanie,B,3.0
Occitanie,B,1.0
Occitanie,B,1.0
Provence-Alpes-Côte d'Azur,B,1.0
Provence-Alpes-Côte d'Azur,B,3.0
Provence-Alpes-Côte d'Azur,B,1.0
Provence-Alpes-Côte d'Azur,B,1.0
Provence-Alpes-Côte d'Azur,B,4.0
Provence-Alpes-Côte d'Azur,B,0.0
Provence-Alpes-Côte d'Azur,B,1.0
Provence-Alpes-Côte d'Azur,B,4.0
Provence-Alpes-Côte d'Azur,B,1.0
Provence-Alpes-Côte d'Azur,B,0.0
Provence-Alpes-Côte d'Azur,B,81.0
Provence-Alpes-Côte d'Azur,B,1.0
Provence-Alpes-Côte d'Azur,B,1.0
Provence-Alpes-Côte d'Azur,B,1.0
Provence-Alpes-Côte d'Azur,B,1.0
Pays de la Loire,B,0.0
Pays de la Loire,B,6.0
Pays de la Loire,B,10.0
Pays de la Loire,B,1.0
Pays de la Loire,B,10.0
Pays de la Loire,B,4.0
Pays de la Loire,B,4.0
Pays de la Loire,B,6.0
Pays de la Loire,B,0.0
Pays de la Loire,B,1.0
Pays de la Loire,B,1.0
